¿A qué distancia aproximada de la Tierra se encuentran las dos enanas marrones estudiadas por el Telescopio James Webb?,Aproximadamente seis años luz.
"En términos de masa, ¿cuál es el límite superior aproximado de una enana marrón en comparación con Júpiter?",Hasta 80 veces la masa de Júpiter.
¿Qué proceso físico fundamental diferencia a una estrella de una enana marrón?,La fusión nuclear de hidrógeno en su núcleo.
¿Cuál es la composición principal de las nubes en las atmósferas de las enanas marrones según el estudio de Beth Biller?,Partículas de silicato calientes.
Las atmósferas de las dos enanas marrones estudiadas por el JWST están dominadas por estos dos elementos: _____.,Hidrógeno y helio.
¿Cuál es el período de rotación de la mayor de las dos enanas marrones observadas a seis años luz?,Siete horas.
¿Qué temperatura aproximada se registró en la cima de las nubes de las enanas marrones analizadas por el Webb?,1.700 grados Fahrenheit (925 grados Celsius).
¿En qué se asemeja el proceso de formación de una enana marrón al de una estrella?,Ambas se forman a partir del colapso de grandes nubes de gas y polvo.
¿Cuál es la principal diferencia en el origen de formación entre un planeta gigante y una enana marrón?,Los planetas se forman por la acumulación de gas alrededor de núcleos sólidos en un disco.
"En comparación con el Sol, ¿cómo es la proporción de elementos pesados o 'metales' en los planetas gigantes?",Es tres veces mayor que en el Sol.
Concepto: Enana marrón superfría BD+01 2920B,Objeto con masa de hidrógeno/helio superior al 99% y temperatura de apenas 400 grados Celsius.
¿Cuál es el diámetro aproximado de las dos enanas marrones examinadas por el Webb en relación con el sistema solar?,Es comparable al diámetro de Júpiter.
¿Qué técnica permite al Webb estudiar las capas atmosféricas a diferentes profundidades en objetos en rotación?,La observación de variaciones de luz a medida que los elementos entran y salen de la vista.
¿Cuántos exoplanetas se conocían aproximadamente hasta el año 2020?,Más de 4.200 planetas.
¿Qué misión espacial española se especializa en medir el radio de los exoplanetas con alta precisión?,La misión CHEOPS de la Agencia Espacial Europea.
El método de detección que registra el ligero oscurecimiento de una estrella cuando un planeta pasa frente a ella se llama _____.,Método de tránsito.
¿Qué fenómeno físico se utiliza en el método de velocidad radial para detectar planetas?,El efecto Doppler en las líneas espectrales de la estrella.
Fórmula: Radio del planeta ($R_p$) basado en el radio estelar ($R_e$) y la caída de brillo,$R_p = \sqrt{\frac{\Delta f}{f} \cdot R_e^2}$.
¿Por qué es difícil observar exoplanetas directamente en luz visible?,Su brillo es muy débil comparado con la intensa luz de la estrella que orbitan.
¿Qué gases traza se identificaron en las atmósferas de las enanas marrones cercanas mediante el JWST?,"Vapor de agua, metano y monóxido de carbono."
"¿Cuál es el diámetro aproximado de nuestra galaxia, la Vía Láctea?",Aproximadamente 100.000 años luz.
El primer exoplaneta descubierto orbitando una estrella similar al Sol se llama _____.,51 Pegasi b.
¿Qué investigadores recibieron el Nobel de Física en 2019 por el descubrimiento de 51 Pegasi b?,Michel Mayor y Didier Queloz.
¿Cuál es la masa mínima requerida para que un objeto inicie la fusión nuclear del hidrógeno?,Al menos 75 veces la masa de Júpiter.
¿Qué define la 'zona habitable' alrededor de una estrella?,La región donde la temperatura permite la existencia de agua líquida en la superficie.
¿Qué característica orbital de Proxima Centauri b impide usar el método de tránsito para medir su radio?,La geometría de su órbita no pasa entre la estrella y nuestra línea de visión.
